name,gender,country_code,country,disciplines,birth_date
SJOBORG Sofia,Female,SWE,Sweden,['Equestrian'],5/7/1998
BARYARD-JOHNSSON Malin,Female,SWE,Sweden,['Equestrian'],4/10/1975
BENGTSSON Rolf-Goran,Male,SWE,Sweden,['Equestrian'],6/2/1962
von ECKERMANN Henrik,Male,SWE,Sweden,['Equestrian'],5/25/1981
FREDRICSON Peder,Male,SWE,Sweden,['Equestrian'],1/30/1972
MITSUI Airi,Female,JPN,Japan,['Swimming'],6/12/2004
TAKEHARA Hidekazu,Male,JPN,Japan,['Swimming'],4/27/2004
MAKINO Hiroko,Female,JPN,Japan,['Swimming'],8/20/1999
TERAKADO Genki,Male,JPN,Japan,['Swimming'],1/6/2003
MANO Hidenari,Male,JPN,Japan,['Swimming'],7/6/2000
HANAGURUMA Yu,Male,JPN,Japan,['Swimming'],1/28/2000
NARITA Mio,Female,JPN,Japan,['Swimming'],12/18/2006
IKEE Rikako,Female,JPN,Japan,['Swimming'],7/4/2000
SUZUKI Satomi,Female,JPN,Japan,['Swimming'],1/29/1991
IKEMOTO Nagisa,Female,JPN,Japan,['Swimming'],8/25/2002
SHIRAI Rio,Female,JPN,Japan,['Swimming'],9/10/1999
TANIGAWA Ageha,Female,JPN,Japan,['Swimming'],6/15/2003
OHASHI Yui,Female,JPN,Japan,['Swimming'],10/18/1995
AOKI Reona,Female,JPN,Japan,['Swimming'],2/24/1995
KOBORI Waka,Female,JPN,Japan,['Swimming'],8/10/2000
HONDA Tomoru,Male,JPN,Japan,['Swimming'],12/31/2001
MIZUNUMA Naoki,Male,JPN,Japan,['Swimming'],12/13/1996
MATSUMOTO Katsuhiro,Male,JPN,Japan,['Swimming'],2/28/1997
WATANABE Ippei,Male,JPN,Japan,['Swimming'],3/18/1997
SETO Daiya,Male,JPN,Japan,['Swimming'],5/24/1994
EBINA Airi,Female,JPN,Japan,['Marathon Swimming'],11/25/2001
MINAMIDE Taishin,Male,JPN,Japan,['Marathon Swimming'],4/13/1996
ENOMOTO Haruka,Female,JPN,Japan,['Diving'],9/14/1996
ARAI Matsuri,Female,JPN,Japan,['Diving'],1/18/2001
MIKAMI Sayaka,Female,JPN,Japan,['Diving'],12/8/2000
TAMAI Rikuto,Male,JPN,Japan,['Diving'],9/11/2006
SAKAI Sho,Male,JPN,Japan,['Diving'],8/22/1992
INOUE Kai Takeshi,Male,JPN,Japan,['Water Polo'],12/21/2006
OGIHARA Daichi,Male,JPN,Japan,['Water Polo'],3/17/2003
WATANABE Taiyo,Male,JPN,Japan,['Water Polo'],10/4/2001
NISHIMURA Towa,Male,JPN,Japan,['Water Polo'],3/31/1998
